,Year,Acousticness,Danceability,Duration_Min,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Popularity,Speechiness,Tempo,Valence
0,1920,0.640845686925795,0.516549116607774,3.938091578327444,0.4232136042402825,0.12014134275618374,0.3567521640636044,4.706713780918728,0.20910388692579493,-12.449703180212012,0.0,0.08658339222614843,111.75106360424024,0.5026858657243817
1,1921,0.8721309523809525,0.4365579365079368,3.908326190476192,0.25164523809523814,0.07936507936507936,0.31650224801587296,5.261904761904762,0.20505952380952377,-16.202674603174597,0.0,0.08045555555555557,103.07268253968252,0.41031269841269846
2,1922,0.8288487394957984,0.576344537815126,2.3317435574229686,0.2238142016806723,0.0,0.2528035273109244,4.8655462184873945,0.2580596638655463,-20.960563025210075,0.0,0.46779327731092435,99.66037815126053,0.5763613445378151
3,1923,0.9329363857142854,0.5197023809523809,2.7897412698412696,0.31360357142857137,0.0,0.4627288244047619,4.619047619047619,0.2430571428571429,-15.914130952380955,0.0,0.10353333333333335,111.83382142857138,0.6356321428571432
4,1924,0.9420008697916673,0.5308020833333333,3.197223003472222,0.34313229166666676,0.0,0.63359573828125,5.484375,0.23711562499999994,-14.785088541666674,0.0,0.09691249999999997,120.81829687499993,0.6485895833333336
5,1925,0.9793550724637677,0.5358623188405796,3.008921618357488,0.2405905797101449,0.0,0.5020783936956522,5.3768115942028984,0.23637101449275358,-16.477369565217387,0.0,0.12402391304347825,106.58542753623186,0.5792478260869564
6,1926,0.7094132403718473,0.5398061088977429,2.715081274900398,0.22243387782204507,0.2948207171314741,0.48692113007968085,4.917662682602922,0.245587118193891,-17.83234262948208,0.0,0.349767330677291,108.34598273572372,0.4412533997343958
7,1927,0.910685176923079,0.6688399999999994,2.9200089230769235,0.2574900000000001,0.015384615384615385,0.33228963678461537,5.001538461538462,0.1784829230769229,-15.8308769230769,0.0,0.2899953846153841,111.69289076923069,0.6783364615384623
8,1928,0.9320669383561677,0.5503493150684937,3.405690313111543,0.2125361545988258,0.0,0.4783876532681013,5.48238747553816,0.16806369863013704,-17.157971624266153,0.0,0.18287602739726047,106.86068493150678,0.5224215264187867
9,1929,0.5857371381215484,0.650436132596685,2.774032081031307,0.23977878453038637,0.4718232044198895,0.21417195607734826,5.483977900552486,0.2377973480662982,-16.744005524861862,0.0,0.5110402209944751,110.93253701657463,0.6397001104972381
10,1930,0.9357993146103873,0.5154723376623377,3.194760205627704,0.3490680844155847,0.005194805194805195,0.36120450244805186,5.426623376623376,0.2269111038961037,-12.354277922077928,0.0,0.12820811688311703,109.77708441558437,0.6322000000000004
11,1931,0.8313646017699132,0.6009548672566374,2.7868306231563387,0.23106712721238953,0.334070796460177,0.21107527360619488,5.073008849557522,0.23001736725663713,-16.58676216814158,0.0,0.4803101769911506,108.31050000000015,0.5091929203539826
12,1932,0.7302839669421496,0.6208023140495865,2.8817341322314074,0.2900289256198346,0.0,0.14500553290909113,3.975206611570248,0.22894628099173575,-17.001661157024788,0.0,0.5198203305785126,108.65932892561989,0.6141611570247935
13,1933,0.8815328650602414,0.5173331325301205,3.6444561746987945,0.29982439759036167,0.0030120481927710845,0.3077432307228914,5.219879518072289,0.21224578313252998,-13.87521987951807,0.0,0.10348524096385543,111.30090361445788,0.5814165662650597
14,1934,0.9180414285714291,0.5500623376623375,3.185183809523811,0.2528618181818182,0.0,0.24053478581818186,4.872727272727273,0.22118441558441554,-14.627838961038961,0.0,0.11742883116883104,116.35750129870134,0.5988862337662341
15,1935,0.7474315007898893,0.5514078988941548,3.743789797261717,0.23873729067930458,0.21879936808846762,0.19744881509478673,5.733807266982622,0.24113736176935208,-15.834663507109013,0.0,0.41568301737756713,109.1816216429699,0.5366382306477098
16,1936,0.5669138232142863,0.6261896978021975,2.5099486378205134,0.2384200205357143,0.0,0.09803033820741762,4.6717032967032965,0.21047342032967026,-21.339863324175827,0.0,0.7376248626373629,107.12398489011,0.5366789148351655
17,1937,0.854302508353223,0.49702935560859124,3.6827204057279257,0.31860572792362757,0.016706443914081145,0.3781696966825777,5.4391408114558475,0.23928257756563243,-13.23847016706443,0.0,0.08827517899761346,112.63431742243434,0.5559706443914082
18,1938,0.9426248337028837,0.4574711751662973,4.367085661492982,0.25332394678492237,0.0,0.37916511212860315,4.88470066518847,0.22502904656319317,-14.812157427937912,0.0,0.09659046563192908,110.12136363636365,0.5022476053215079
19,1939,0.9047293637846681,0.514522022838499,4.0048413539967385,0.29364551386623144,0.0,0.2976529296900489,5.133768352365416,0.23623703099510598,-13.375306688417618,0.0,0.14545872756933106,112.54370146818924,0.5722794453507338
20,1940,0.8449427672955959,0.5238729559748426,3.009512096436065,0.3166654276729563,0.2138364779874214,0.329616208779874,5.6314465408805034,0.26411100628930845,-13.524514465408823,0.0,0.2640575471698112,108.91215408805041,0.6266001509433957
21,1941,0.9004435815147648,0.4777025673940963,3.3458218870346603,0.2676480616174581,0.012836970474967908,0.5126925087163031,4.96790757381258,0.19806495507060323,-15.915509627727845,0.0,0.09690770218228506,106.80673555840818,0.48929293966623905
22,1942,0.8453589339622645,0.4636539912917276,3.7618592162554445,0.2505050290275762,0.0,0.4128274926560232,5.264150943396227,0.208569230769231,-15.111722786647324,0.0,0.08712467343976771,105.10902612481866,0.4679229317851968
23,1943,0.9025002520689676,0.4622591379310342,3.595122643678161,0.27712103448275843,0.0,0.43207116850000044,5.267241379310345,0.2264275862068964,-13.50825689655173,0.0,0.10180982758620687,105.58073448275869,0.5189318965517243
