,Year,Acousticness,Danceability,Duration_Min,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Popularity,Speechiness,Tempo,Valence
45,1965,0.635,0.5720000000000001,2.75,0.418,0.0,0.0,0.0,0.0961,-10.738,78.0,0.0349,104.566,0.6940000000000001
46,1966,0.20065000000000002,0.508,3.038666666666667,0.7015,0.0,0.00122,1.0,0.22615000000000002,-9.526499999999999,78.0,0.06355,135.529,0.6245
47,1967,0.43,0.6629999999999999,2.5277833333333333,0.6,0.0,0.0,7.0,0.184,-10.87,80.0,0.032,129.991,0.8
48,1968,0.00255,0.438,4.013333333333334,0.805,0.0,5.69e-05,8.0,0.0842,-6.237,77.0,0.0624,113.253,0.564
49,1969,0.0339,0.557,3.09555,0.54,0.0,0.00248,9.0,0.179,-10.484000000000002,82.0,0.0347,129.171,0.394
50,1970,0.424,0.6920000000000001,2.4002166666666667,0.762,0.0,1.27e-05,0.0,0.181,-4.867,79.0,0.0342,146.673,0.961
51,1971,0.623,0.433,5.821055555555556,0.3416666666666666,0.0,0.062147666666666664,3.0,0.11916666666666668,-11.834666666666669,78.0,0.02896666666666667,101.08666666666666,0.21599999999999997
52,1972,0.4320000000000001,0.601,4.69355,0.532,0.0,6.25e-06,10.0,0.0925,-9.119,81.0,0.0286,136.571,0.341
53,1973,0.245,0.4165,4.494616666666667,0.679,0.0,4.985e-05,1.5,0.3185,-7.8205,78.0,0.03265,150.60399999999998,0.5215000000000001
54,1974,0.181,0.596,4.73,0.605,0.0,0.000331,7.0,0.0863,-12.145,81.0,0.0255,97.798,0.8859999999999999
55,1975,0.883,0.414,3.324883333333333,0.161,0.0,0.000223,7.0,0.117,-22.32,78.0,0.0318,159.375,0.423
56,1976,0.00574,0.579,6.5229333333333335,0.508,0.0,0.0004940000000000001,2.0,0.0575,-9.484,83.0,0.027000000000000003,147.125,0.609
57,1977,0.0644,0.828,4.296666666666667,0.4920000000000001,0.0,0.00428,0.0,0.128,-9.744,86.0,0.0276,120.151,0.789
58,1978,0.168,0.6970000000000001,3.5848833333333334,0.8320000000000001,0.0,0.00131,9.0,0.269,-7.2639999999999985,80.0,0.0298,125.926,0.979
59,1979,0.061,0.574,3.473333333333333,0.913,0.0,0.00158,6.0,0.156,-4.793,82.0,0.133,115.728,0.423
60,1980,0.011,0.31,4.258216666666667,0.7,0.0,0.00965,9.0,0.0828,-5.678,84.0,0.047,188.386,0.763
61,1981,0.127,0.5,4.183116666666667,0.748,0.0,0.0,4.0,0.447,-9.072,80.0,0.0363,118.852,0.514
62,1982,0.0236,0.92,4.897116666666666,0.654,0.0,0.0158,11.0,0.0359,-3.051,83.0,0.0401,117.046,0.847
63,1983,0.5429999999999999,0.82,4.232,0.452,0.0,0.00294,1.0,0.0714,-9.796,84.0,0.0348,117.401,0.74
64,1984,0.189,0.735,4.382666666666666,0.478,0.0,2.48e-06,2.0,0.355,-12.472,82.0,0.0293,107.682,0.947
65,1985,0.29700000000000004,0.688,3.8532166666666665,0.6950000000000001,0.0,0.031075000000000002,3.5,0.08455,-8.470500000000001,83.0,0.06715,90.0915,0.75
66,1986,0.0778,0.532,4.154883333333333,0.887,0.0,0.000214,0.0,0.294,-3.757,82.0,0.0335,122.511,0.795
67,1987,0.207,0.7090000000000001,4.854883333333333,0.8240000000000001,0.0,0.000307,1.0,0.0888,-8.824,82.0,0.0453,118.818,0.867
68,1988,0.5820000000000001,0.271,4.5411166666666665,0.551,0.0,4.16e-05,2.0,0.256,-7.48,78.0,0.0457,78.111,0.428
69,1989,0.212,0.623,4.266666666666667,0.449,0.0,0.0,5.0,0.0613,-13.333,77.0,0.0253,84.383,0.5720000000000001
70,1990,0.000147,0.502,4.881333333333333,0.89,0.0,0.0117,4.0,0.217,-5.175,82.0,0.0364,133.52,0.259
71,1991,0.179,0.6659999999999999,4.4737833333333334,0.855,0.0,1.2e-06,9.0,0.0987,-5.051,81.0,0.0295,125.639,0.8029999999999999
72,1992,0.0938,0.5155,5.0758833333333335,0.6984999999999999,0.5,0.0,4.5,0.07335,-7.1295,78.0,0.1666,111.57,0.5575
73,1993,0.0097,0.515,3.977333333333333,0.43,1.0,0.000133,7.0,0.129,-9.935,80.0,0.0372,91.844,0.104
74,1994,0.16399999999999998,0.336,4.01845,0.627,0.0,0.0,7.0,0.0708,-7.462999999999999,90.0,0.0384,150.273,0.35
75,1995,0.0655,0.647,4.01155,0.514,0.0,0.0,8.0,0.398,-10.05,81.0,0.0593,79.97399999999998,0.387
76,1996,0.101,0.768,2.883783333333333,0.8640000000000001,0.0,0.0,11.0,0.162,-6.145,79.0,0.0324,110.008,0.8909999999999999
77,1997,0.0335,0.35600000000000004,5.95445,0.917,0.0,0.0,9.0,0.406,-6.006,78.0,0.0479,171.176,0.518
78,1998,0.128,0.574,5.001783333333333,0.629,0.0,0.0,2.0,0.271,-8.815,78.0,0.0363,153.119,0.7859999999999999
79,1999,0.0021,0.5920000000000001,5.49555,0.767,0.0,0.00165,9.0,0.127,-2.7880000000000003,80.0,0.027000000000000003,96.483,0.328
80,2000,0.00239,0.429,4.4462166666666665,0.6609999999999999,0.0,0.000121,11.0,0.234,-7.227,85.0,0.0281,173.372,0.285
